MC01_c,MC02_c,MC03_c,MC04_c,WFc01_c,PK_State_Average
0,0,1,0,WI,0.7091346153846154
1,0,0,0,MS,0.6370967741935484
1,0,1,1,IN,0.6658415841584159
0,0,0,1,MI,0.7061068702290076
1,0,1,1,MN,0.7476190476190476
0,0,1,0,ID,0.6578947368421053
1,0,0,1,CA,0.7258566978193146
1,0,1,1,RI,0.7282608695652174
0,0,0,0,CT,0.7205882352941176
1,1,1,1,TX,0.6930051813471503
0,0,0,1,KY,0.631578947368421
0,0,1,1,TN,0.6728723404255319
1,0,1,1,AZ,0.7268518518518519
0,0,0,0,NJ,0.7
1,0,1,1,KS,0.75
1,0,1,0,MN,0.7476190476190476
1,0,0,1,CA,0.7258566978193146
1,0,0,1,FL,0.680628272251309
0,0,1,0,GA,0.6039603960396039
1,0,1,1,IN,0.6658415841584159
1,1,1,1,OH,0.6855828220858896
0,0,0,0,IL,0.6966911764705882
0,0,1,1,WA,0.7172619047619048
1,1,1,1,PA,0.6622222222222223
1,1,1,1,KS,0.75
1,0,1,1,WA,0.7172619047619048
1,0,1,1,KY,0.631578947368421
1,1,1,1,NY,0.7316810344827587
1,1,1,1,TN,0.6728723404255319
1,1,1,1,SC,0.7067307692307693
0,1,1,1,MN,0.7476190476190476
1,0,0,1,CO,0.7090163934426229
1,0,1,1,OH,0.6855828220858896
1,0,1,1,TN,0.6728723404255319
1,1,1,1,TX,0.6930051813471503
1,1,1,1,MA,0.7105263157894737
0,0,0,0,IN,0.6658415841584159
1,0,0,0,GA,0.6039603960396039
0,0,0,1,SC,0.7067307692307693
1,1,1,1,MD,0.7225274725274725
0,0,0,0,NY,0.7316810344827587
0,0,1,1,TN,0.6728723404255319
1,1,1,1,OK,0.6363636363636364
1,0,1,1,IA,0.6938775510204082
1,1,1,1,CA,0.7258566978193146
0,0,0,0,TN,0.6728723404255319
1,1,1,1,CO,0.7090163934426229
0,0,0,1,PA,0.6622222222222223
1,0,1,1,IL,0.6966911764705882
1,1,1,1,MO,0.7005208333333334
1,0,1,1,OH,0.6855828220858896
1,0,0,1,IN,0.6658415841584159
0,1,0,0,IL,0.6966911764705882
1,0,1,1,CO,0.7090163934426229
1,0,1,0,UT,0.756578947368421
1,0,1,1,CA,0.7258566978193146
1,1,1,1,NY,0.7316810344827587
1,0,1,1,TN,0.6728723404255319
1,0,1,1,MS,0.6370967741935484
1,1,1,1,PA,0.6622222222222223
1,0,1,1,MO,0.7005208333333334
1,0,0,1,TX,0.6930051813471503
1,0,1,1,KY,0.631578947368421
1,0,0,0,TX,0.6930051813471503
1,0,1,1,WA,0.7172619047619048
1,1,0,1,KY,0.631578947368421
1,1,0,1,AR,0.6214285714285714
1,0,1,1,OH,0.6855828220858896
1,0,1,1,NJ,0.7
1,0,1,1,NC,0.6365384615384615
1,1,0,1,WA,0.7172619047619048
1,0,1,1,NY,0.7316810344827587
0,0,1,1,RI,0.7282608695652174
1,1,1,1,MO,0.7005208333333334
0,0,0,1,CA,0.7258566978193146
1,1,0,1,OH,0.6855828220858896
1,0,0,1,NC,0.6365384615384615
1,0,1,1,NY,0.7316810344827587
1,0,0,0,VA,0.7158119658119658
1,0,1,1,MN,0.7476190476190476
1,1,1,1,IL,0.6966911764705882
0,1,1,0,UT,0.756578947368421
1,0,0,0,CA,0.7258566978193146
1,1,1,1,CA,0.7258566978193146
1,0,1,1,CT,0.7205882352941176
0,0,1,1,NY,0.7316810344827587
1,1,1,1,IN,0.6658415841584159
1,0,1,1,NY,0.7316810344827587
1,1,0,1,NY,0.7316810344827587
1,1,1,1,NY,0.7316810344827587
1,1,1,1,FL,0.680628272251309
1,1,1,1,MI,0.7061068702290076
1,0,1,1,IN,0.6658415841584159
1,1,1,1,NY,0.7316810344827587
1,1,1,1,GA,0.6039603960396039
1,1,1,1,AR,0.6214285714285714
1,0,1,0,MS,0.6370967741935484
1,1,0,1,UT,0.756578947368421
1,1,0,1,CA,0.7258566978193146
0,0,0,0,CT,0.7205882352941176
0,1,1,1,NY,0.7316810344827587
1,1,0,1,NJ,0.7
0,0,0,1,AR,0.6214285714285714
1,0,1,1,MN,0.7476190476190476
1,1,0,1,CA,0.7258566978193146
1,0,1,1,NC,0.6365384615384615
1,0,0,1,UT,0.756578947368421
1,1,1,1,CO,0.7090163934426229
1,1,1,1,MA,0.7105263157894737
1,0,1,1,AR,0.6214285714285714
1,1,1,1,OK,0.6363636363636364
1,1,1,1,WI,0.7091346153846154
1,1,1,1,NY,0.7316810344827587
1,1,1,1,IL,0.6966911764705882
1,1,1,1,TX,0.6930051813471503
0,0,1,1,TX,0.6930051813471503
1,0,1,1,VA,0.7158119658119658
1,0,0,0,GA,0.6039603960396039
1,0,1,1,NC,0.6365384615384615
1,1,1,1,WI,0.7091346153846154
1,1,1,1,MI,0.7061068702290076
0,0,0,0,PA,0.6622222222222223
0,0,0,1,MA,0.7105263157894737
0,1,0,0,CO,0.7090163934426229
1,0,1,0,CA,0.7258566978193146
1,1,1,1,KS,0.75
1,0,0,1,PA,0.6622222222222223
1,1,1,1,NJ,0.7
1,0,0,0,WI,0.7091346153846154
1,0,1,1,WI,0.7091346153846154
1,1,0,1,UT,0.756578947368421
1,1,1,1,MI,0.7061068702290076
1,0,0,1,IN,0.6658415841584159
1,1,1,1,ME,0.8484848484848485
1,1,1,1,KY,0.631578947368421
0,0,1,0,CA,0.7258566978193146
1,1,1,1,ME,0.8484848484848485
1,0,1,1,NY,0.7316810344827587
1,1,1,1,NC,0.6365384615384615
1,1,1,1,KY,0.631578947368421
1,1,1,1,OH,0.6855828220858896
1,0,1,1,NJ,0.7
0,0,0,1,PA,0.6622222222222223
1,0,1,1,TN,0.6728723404255319
1,0,1,1,MD,0.7225274725274725
0,0,1,1,TN,0.6728723404255319
1,0,1,1,OH,0.6855828220858896
1,1,1,1,NJ,0.7
1,0,0,1,OR,0.6610169491525424
1,1,1,1,MN,0.7476190476190476
0,0,0,0,MO,0.7005208333333334
1,0,1,1,IL,0.6966911764705882
1,1,1,1,CA,0.7258566978193146
0,0,0,1,IL,0.6966911764705882
0,0,0,0,LA,0.6217948717948718
0,0,0,1,AZ,0.7268518518518519
1,0,1,1,PA,0.6622222222222223
0,0,0,0,IL,0.6966911764705882
1,0,0,1,MI,0.7061068702290076
1,0,1,1,KY,0.631578947368421
0,0,1,0,MA,0.7105263157894737
1,1,0,1,LA,0.6217948717948718
1,1,1,1,UT,0.756578947368421
1,0,0,1,IL,0.6966911764705882
1,0,1,1,MD,0.7225274725274725
1,1,1,1,GA,0.6039603960396039
1,1,0,1,TX,0.6930051813471503
1,1,1,1,CA,0.7258566978193146
1,0,0,1,GA,0.6039603960396039
1,1,1,1,PA,0.6622222222222223
1,0,0,1,NC,0.6365384615384615
1,0,0,1,NY,0.7316810344827587
1,1,0,1,WV,0.6484375
1,0,1,1,MI,0.7061068702290076
1,1,1,1,DE,0.75
1,0,1,1,MD,0.7225274725274725
0,0,0,0,FL,0.680628272251309
1,0,0,0,TN,0.6728723404255319
1,0,0,1,TX,0.6930051813471503
0,1,1,1,CA,0.7258566978193146
1,1,0,0,MD,0.7225274725274725
0,0,0,1,FL,0.680628272251309
1,0,1,1,SC,0.7067307692307693
1,1,1,1,WI,0.7091346153846154
1,0,0,0,CO,0.7090163934426229
0,0,0,0,CA,0.7258566978193146
1,1,1,1,DC,0.625
1,0,1,1,PA,0.6622222222222223
1,1,1,1,IL,0.6966911764705882
1,1,1,1,WI,0.7091346153846154
1,1,1,1,CA,0.7258566978193146
0,0,0,1,PA,0.6622222222222223
1,0,1,1,PA,0.6622222222222223
1,1,1,1,CT,0.7205882352941176
0,0,1,1,TX,0.6930051813471503
1,0,1,1,WV,0.6484375
1,0,1,1,MN,0.7476190476190476
1,1,1,1,WA,0.7172619047619048
1,0,1,1,NJ,0.7
1,1,1,1,IA,0.6938775510204082
0,1,0,1,OK,0.6363636363636364
1,1,1,0,OH,0.6855828220858896
1,0,0,0,GA,0.6039603960396039
1,1,1,1,SC,0.7067307692307693
1,0,1,1,NC,0.6365384615384615
1,0,1,1,AZ,0.7268518518518519
1,0,1,1,OR,0.6610169491525424
1,1,1,1,NY,0.7316810344827587
1,1,1,1,SC,0.7067307692307693
1,1,1,1,SC,0.7067307692307693
0,1,1,1,VA,0.7158119658119658
1,0,0,1,MI,0.7061068702290076
0,0,0,1,NC,0.6365384615384615
1,1,1,1,MN,0.7476190476190476
0,0,1,1,IL,0.6966911764705882
0,1,1,1,RI,0.7282608695652174
1,0,1,1,NY,0.7316810344827587
1,0,0,1,VA,0.7158119658119658
1,1,1,1,IL,0.6966911764705882
1,1,0,1,FL,0.680628272251309
0,0,1,1,NJ,0.7
1,1,1,1,GA,0.6039603960396039
1,1,1,1,MA,0.7105263157894737
0,0,1,1,GA,0.6039603960396039
1,1,1,1,TN,0.6728723404255319
1,0,0,0,MN,0.7476190476190476
1,1,1,1,NJ,0.7
1,1,1,1,MN,0.7476190476190476
1,1,1,1,VA,0.7158119658119658
1,0,1,1,WV,0.6484375
0,0,0,1,NJ,0.7
1,1,1,1,VT,0.8392857142857143
1,1,1,1,CA,0.7258566978193146
1,0,1,0,NJ,0.7
1,1,1,1,TX,0.6930051813471503
1,1,0,1,MO,0.7005208333333334
1,1,1,1,TN,0.6728723404255319
1,0,1,1,AZ,0.7268518518518519
1,1,1,1,AL,0.6111111111111112
1,0,0,1,IL,0.6966911764705882
0,0,0,1,KY,0.631578947368421
1,0,1,1,PA,0.6622222222222223
1,1,1,1,WI,0.7091346153846154
1,1,1,1,ME,0.8484848484848485
1,0,1,0,FL,0.680628272251309
0,0,0,0,MI,0.7061068702290076
0,0,1,0,CA,0.7258566978193146
1,1,1,1,IN,0.6658415841584159
1,1,1,1,TX,0.6930051813471503
1,1,1,1,AZ,0.7268518518518519
1,1,1,1,NY,0.7316810344827587
1,0,1,1,ME,0.8484848484848485
1,1,1,1,MI,0.7061068702290076
1,1,1,1,FL,0.680628272251309
0,1,1,1,IA,0.6938775510204082
1,0,1,1,CA,0.7258566978193146
1,1,1,1,NJ,0.7
1,0,0,1,NY,0.7316810344827587
1,1,1,1,ME,0.8484848484848485
1,0,0,1,OH,0.6855828220858896
1,0,1,1,SC,0.7067307692307693
1,1,1,1,IA,0.6938775510204082
1,1,1,1,ME,0.8484848484848485
1,1,1,1,TN,0.6728723404255319
0,0,1,1,NC,0.6365384615384615
1,0,0,0,NY,0.7316810344827587
0,1,1,1,NY,0.7316810344827587
1,1,1,1,NE,0.65625
1,1,1,1,WY,0.75
1,0,1,1,MT,0.7361111111111112
0,0,0,1,NC,0.6365384615384615
0,1,1,1,PA,0.6622222222222223
0,0,0,0,WI,0.7091346153846154
1,0,1,1,CO,0.7090163934426229
1,1,1,1,WY,0.75
0,0,0,0,NE,0.65625
1,0,1,1,OR,0.6610169491525424
0,1,0,1,WI,0.7091346153846154
1,0,1,1,WI,0.7091346153846154
1,0,0,1,MI,0.7061068702290076
1,0,0,1,WA,0.7172619047619048
1,0,0,0,OH,0.6855828220858896
1,0,0,1,IN,0.6658415841584159
1,0,1,1,PA,0.6622222222222223
1,0,1,0,FL,0.680628272251309
0,0,0,1,OH,0.6855828220858896
1,1,1,1,TX,0.6930051813471503
1,0,1,1,IA,0.6938775510204082
1,0,0,1,WI,0.7091346153846154
0,1,0,0,WA,0.7172619047619048
1,1,0,1,OH,0.6855828220858896
1,1,1,1,NH,0.7045454545454546
1,1,0,1,PA,0.6622222222222223
0,0,0,0,OH,0.6855828220858896
0,0,0,0,CO,0.7090163934426229
1,1,1,1,WA,0.7172619047619048
1,0,1,1,WV,0.6484375
1,1,1,1,RI,0.7282608695652174
0,0,0,0,FL,0.680628272251309
0,0,1,0,MN,0.7476190476190476
1,0,1,1,OH,0.6855828220858896
1,1,1,1,IL,0.6966911764705882
0,1,1,1,WA,0.7172619047619048
1,1,1,1,IN,0.6658415841584159
0,0,0,0,IL,0.6966911764705882
1,1,0,1,KS,0.75
0,1,1,0,CA,0.7258566978193146
1,1,1,1,OK,0.6363636363636364
1,0,0,1,OK,0.6363636363636364
1,1,0,1,TX,0.6930051813471503
1,1,1,1,CO,0.7090163934426229
1,1,0,1,CA,0.7258566978193146
1,1,1,1,VA,0.7158119658119658
1,0,0,0,IL,0.6966911764705882
1,0,0,1,ID,0.6578947368421053
1,1,0,1,CA,0.7258566978193146
1,0,1,1,IN,0.6658415841584159
1,1,0,1,MI,0.7061068702290076
1,1,1,1,UT,0.756578947368421
0,0,1,0,AL,0.6111111111111112
1,0,0,1,IL,0.6966911764705882
1,1,1,1,CA,0.7258566978193146
1,1,1,1,NC,0.6365384615384615
1,1,1,1,NY,0.7316810344827587
1,0,1,1,FL,0.680628272251309
0,1,1,1,OH,0.6855828220858896
1,1,0,1,TN,0.6728723404255319
1,0,1,1,MS,0.6370967741935484
1,1,1,1,AR,0.6214285714285714
0,0,0,0,CA,0.7258566978193146
0,0,1,1,NJ,0.7
1,1,1,1,MD,0.7225274725274725
0,0,1,1,NH,0.7045454545454546
1,1,0,1,PA,0.6622222222222223
1,1,1,1,NC,0.6365384615384615
0,0,1,1,TX,0.6930051813471503
1,1,1,1,WI,0.7091346153846154
0,0,1,1,PA,0.6622222222222223
1,0,0,1,NC,0.6365384615384615
1,0,1,1,CA,0.7258566978193146
1,0,1,1,NY,0.7316810344827587
1,0,0,1,NJ,0.7
1,0,1,1,MI,0.7061068702290076
1,0,1,1,OH,0.6855828220858896
1,0,0,1,NC,0.6365384615384615
1,1,1,1,PA,0.6622222222222223
1,1,0,1,CA,0.7258566978193146
0,0,1,1,TX,0.6930051813471503
1,0,1,1,TX,0.6930051813471503
1,1,0,1,IN,0.6658415841584159
1,0,0,0,FL,0.680628272251309
1,0,1,1,MD,0.7225274725274725
0,0,0,1,NJ,0.7
1,0,1,1,AL,0.6111111111111112
1,1,1,1,KS,0.75
1,0,1,1,CA,0.7258566978193146
0,0,0,0,GA,0.6039603960396039
1,1,1,1,MO,0.7005208333333334
1,1,1,1,KY,0.631578947368421
1,1,1,1,AZ,0.7268518518518519
1,0,1,1,CA,0.7258566978193146
1,1,1,1,FL,0.680628272251309
0,1,1,1,MS,0.6370967741935484
1,0,0,1,MI,0.7061068702290076
1,0,0,1,PA,0.6622222222222223
0,0,0,1,CA,0.7258566978193146
1,0,0,0,LA,0.6217948717948718
0,0,1,0,TN,0.6728723404255319
1,0,1,1,MN,0.7476190476190476
1,1,1,1,NM,0.6944444444444444
1,1,1,1,SC,0.7067307692307693
1,0,1,1,IA,0.6938775510204082
1,1,0,1,PA,0.6622222222222223
1,1,1,1,SC,0.7067307692307693
1,0,1,1,WY,0.75
0,1,1,1,PA,0.6622222222222223
1,0,1,1,FL,0.680628272251309
1,0,1,1,MS,0.6370967741935484
1,0,1,0,KY,0.631578947368421
0,0,0,1,MO,0.7005208333333334
0,0,0,1,WA,0.7172619047619048
0,0,0,1,MD,0.7225274725274725
1,1,1,1,SC,0.7067307692307693
1,1,0,1,WY,0.75
1,0,1,1,VA,0.7158119658119658
1,1,1,1,MA,0.7105263157894737
1,0,0,0,TX,0.6930051813471503
1,0,1,1,IN,0.6658415841584159
1,0,0,0,VA,0.7158119658119658
1,1,1,1,MS,0.6370967741935484
1,0,0,1,CA,0.7258566978193146
1,1,0,0,PA,0.6622222222222223
1,1,1,1,TN,0.6728723404255319
1,0,1,1,VA,0.7158119658119658
1,1,1,1,IL,0.6966911764705882
1,0,1,1,TX,0.6930051813471503
1,1,1,1,OH,0.6855828220858896
1,0,1,1,NY,0.7316810344827587
1,1,1,0,TX,0.6930051813471503
1,1,1,1,MN,0.7476190476190476
1,0,1,1,NH,0.7045454545454546
1,0,1,1,AZ,0.7268518518518519
1,0,0,0,MI,0.7061068702290076
1,0,1,1,NY,0.7316810344827587
1,0,1,1,MT,0.7361111111111112
1,0,1,1,NM,0.6944444444444444
1,0,1,1,WA,0.7172619047619048
0,0,0,0,CA,0.7258566978193146
1,0,0,0,IN,0.6658415841584159
0,0,0,1,MA,0.7105263157894737
1,0,1,1,MO,0.7005208333333334
1,0,1,1,MA,0.7105263157894737
0,0,1,1,PA,0.6622222222222223
0,0,1,1,NH,0.7045454545454546
1,0,1,0,WI,0.7091346153846154
0,1,1,1,OR,0.6610169491525424
1,0,1,1,CO,0.7090163934426229
1,1,1,1,CO,0.7090163934426229
0,0,1,1,NY,0.7316810344827587
1,1,1,1,MI,0.7061068702290076
1,0,1,1,VA,0.7158119658119658
0,0,1,0,PA,0.6622222222222223
1,0,1,1,NJ,0.7
1,1,1,1,NC,0.6365384615384615
0,0,0,0,FL,0.680628272251309
1,0,0,1,CA,0.7258566978193146
1,1,1,1,CA,0.7258566978193146
1,0,1,1,WA,0.7172619047619048
1,1,1,1,CA,0.7258566978193146
0,0,0,0,OH,0.6855828220858896
1,1,0,1,LA,0.6217948717948718
1,1,1,1,UT,0.756578947368421
0,0,0,1,OH,0.6855828220858896
0,0,1,0,TN,0.6728723404255319
1,0,1,1,MD,0.7225274725274725
0,0,0,0,TX,0.6930051813471503
1,1,1,1,NE,0.65625
1,1,1,1,WY,0.75
1,1,0,1,AZ,0.7268518518518519
1,1,0,1,NV,0.7666666666666667
1,1,1,1,PA,0.6622222222222223
1,1,0,1,FL,0.680628272251309
1,0,0,1,TX,0.6930051813471503
0,1,1,1,CA,0.7258566978193146
1,1,1,1,MD,0.7225274725274725
0,0,1,1,MI,0.7061068702290076
1,1,1,1,IL,0.6966911764705882
1,0,1,1,OR,0.6610169491525424
1,1,1,1,VT,0.8392857142857143
0,0,0,1,NY,0.7316810344827587
1,0,1,1,NJ,0.7
1,0,1,1,VA,0.7158119658119658
1,1,0,1,CA,0.7258566978193146
1,1,0,0,FL,0.680628272251309
1,1,1,1,NC,0.6365384615384615
1,1,1,1,IN,0.6658415841584159
1,1,1,1,NC,0.6365384615384615
1,0,1,1,OH,0.6855828220858896
1,1,1,1,OH,0.6855828220858896
1,0,1,0,MI,0.7061068702290076
1,0,1,1,OH,0.6855828220858896
1,0,0,1,MD,0.7225274725274725
0,0,0,0,NY,0.7316810344827587
0,1,0,0,OH,0.6855828220858896
1,1,1,1,MD,0.7225274725274725
1,1,1,1,MA,0.7105263157894737
1,1,0,1,GA,0.6039603960396039
1,1,1,1,VT,0.8392857142857143
1,0,1,1,TN,0.6728723404255319
1,0,0,1,CA,0.7258566978193146
0,0,0,1,FL,0.680628272251309
1,1,0,1,IN,0.6658415841584159
1,0,1,1,VA,0.7158119658119658
1,1,0,1,WI,0.7091346153846154
0,0,1,1,MO,0.7005208333333334
1,1,0,1,NV,0.7666666666666667
0,0,0,0,KY,0.631578947368421
1,0,1,1,WA,0.7172619047619048
1,1,0,1,CA,0.7258566978193146
1,0,1,1,NC,0.6365384615384615
1,1,1,1,FL,0.680628272251309
0,0,0,1,TX,0.6930051813471503
1,0,1,0,NE,0.65625
0,0,1,1,CO,0.7090163934426229
1,1,1,1,MD,0.7225274725274725
1,0,0,0,MN,0.7476190476190476
1,0,1,1,WA,0.7172619047619048
1,0,1,1,LA,0.6217948717948718
1,1,1,0,MI,0.7061068702290076
1,1,1,1,NJ,0.7
1,0,1,1,MO,0.7005208333333334
0,0,1,1,WI,0.7091346153846154
1,1,1,1,LA,0.6217948717948718
1,1,0,1,CO,0.7090163934426229
1,1,1,1,AL,0.6111111111111112
1,1,0,1,GA,0.6039603960396039
1,1,1,1,FL,0.680628272251309
1,0,1,1,MA,0.7105263157894737
1,0,0,0,NY,0.7316810344827587
1,0,0,1,FL,0.680628272251309
1,1,1,1,FL,0.680628272251309
1,0,1,1,TN,0.6728723404255319
1,1,0,1,NM,0.6944444444444444
1,1,1,1,CA,0.7258566978193146
0,0,1,0,GA,0.6039603960396039
1,0,0,0,MD,0.7225274725274725
1,0,1,1,TN,0.6728723404255319
0,0,1,1,OH,0.6855828220858896
1,0,1,1,MO,0.7005208333333334
1,1,1,1,CA,0.7258566978193146
0,1,1,1,CO,0.7090163934426229
1,0,1,1,MI,0.7061068702290076
0,0,1,1,CA,0.7258566978193146
1,1,1,1,PA,0.6622222222222223
1,0,1,1,PA,0.6622222222222223
1,0,0,1,PA,0.6622222222222223
1,0,1,1,WA,0.7172619047619048
0,0,0,0,WA,0.7172619047619048
1,0,0,1,CA,0.7258566978193146
0,1,1,1,OH,0.6855828220858896
1,0,1,1,TN,0.6728723404255319
1,1,1,1,MA,0.7105263157894737
1,1,1,1,VT,0.8392857142857143
0,1,1,0,ID,0.6578947368421053
1,0,0,0,OR,0.6610169491525424
1,0,1,1,NY,0.7316810344827587
0,0,1,0,NC,0.6365384615384615
0,1,1,1,TX,0.6930051813471503
1,1,1,1,OH,0.6855828220858896
1,1,1,1,MN,0.7476190476190476
1,0,0,1,NJ,0.7
1,1,1,0,PA,0.6622222222222223
1,0,1,1,WA,0.7172619047619048
1,1,1,1,MD,0.7225274725274725
1,0,1,1,ME,0.8484848484848485
1,1,0,1,FL,0.680628272251309
1,0,1,1,CA,0.7258566978193146
1,1,1,1,CA,0.7258566978193146
0,1,1,1,NY,0.7316810344827587
1,0,0,1,NJ,0.7
1,0,0,1,CT,0.7205882352941176
0,1,1,1,TX,0.6930051813471503
1,1,1,1,WI,0.7091346153846154
1,0,1,1,CA,0.7258566978193146
0,0,1,0,MN,0.7476190476190476
1,0,1,1,IL,0.6966911764705882
0,1,1,1,MN,0.7476190476190476
1,0,0,1,AL,0.6111111111111112
1,0,1,1,MO,0.7005208333333334
1,0,0,0,NM,0.6944444444444444
1,0,1,0,CA,0.7258566978193146
1,1,1,1,MD,0.7225274725274725
1,1,1,1,FL,0.680628272251309
1,0,1,1,FL,0.680628272251309
0,1,1,1,MD,0.7225274725274725
1,0,0,0,PA,0.6622222222222223
1,1,1,1,IL,0.6966911764705882
1,1,1,1,WV,0.6484375
0,0,1,1,LA,0.6217948717948718
0,0,1,1,VA,0.7158119658119658
1,0,0,1,OR,0.6610169491525424
1,1,1,1,FL,0.680628272251309
1,0,1,1,TX,0.6930051813471503
1,0,1,1,NY,0.7316810344827587
0,0,0,1,NJ,0.7
1,1,1,1,PA,0.6622222222222223
1,0,1,1,IL,0.6966911764705882
0,0,0,0,MO,0.7005208333333334
1,1,0,1,FL,0.680628272251309
1,0,1,1,MD,0.7225274725274725
1,0,1,1,OK,0.6363636363636364
1,0,0,1,CO,0.7090163934426229
1,1,1,0,MT,0.7361111111111112
1,0,1,1,CA,0.7258566978193146
1,0,1,1,MD,0.7225274725274725
1,1,1,1,FL,0.680628272251309
1,1,0,1,NY,0.7316810344827587
1,0,1,1,PA,0.6622222222222223
1,0,1,1,MO,0.7005208333333334
1,0,1,1,TX,0.6930051813471503
0,1,1,1,PA,0.6622222222222223
1,0,1,0,WA,0.7172619047619048
1,1,1,1,MD,0.7225274725274725
0,1,0,1,TX,0.6930051813471503
1,0,0,1,KS,0.75
1,1,1,1,TX,0.6930051813471503
1,1,1,1,OR,0.6610169491525424
1,1,1,1,CA,0.7258566978193146
1,0,1,0,GA,0.6039603960396039
1,1,1,1,PA,0.6622222222222223
1,1,0,1,TX,0.6930051813471503
1,0,1,1,NJ,0.7
1,1,0,1,PA,0.6622222222222223
1,1,1,1,IL,0.6966911764705882
0,0,1,0,NC,0.6365384615384615
1,1,1,1,NE,0.65625
1,0,0,0,TN,0.6728723404255319
1,1,1,1,FL,0.680628272251309
1,1,1,1,CT,0.7205882352941176
1,1,1,1,IL,0.6966911764705882
1,1,1,1,CA,0.7258566978193146
1,0,0,0,PA,0.6622222222222223
1,1,1,1,TX,0.6930051813471503
0,0,1,1,IL,0.6966911764705882
0,0,1,1,CA,0.7258566978193146
0,0,0,1,NC,0.6365384615384615
1,1,1,1,WI,0.7091346153846154
1,0,1,1,CA,0.7258566978193146
1,1,1,1,CA,0.7258566978193146
0,0,0,1,PA,0.6622222222222223
1,0,0,1,NC,0.6365384615384615
1,0,1,1,TX,0.6930051813471503
0,1,1,1,WA,0.7172619047619048
1,0,0,0,AL,0.6111111111111112
0,1,1,1,IL,0.6966911764705882
1,0,0,1,CA,0.7258566978193146
0,0,0,1,KS,0.75
1,1,1,1,MS,0.6370967741935484
0,0,1,1,TX,0.6930051813471503
1,0,1,1,FL,0.680628272251309
0,0,0,1,OH,0.6855828220858896
0,0,0,1,TX,0.6930051813471503
0,0,1,0,TX,0.6930051813471503
1,0,1,1,NY,0.7316810344827587
1,1,1,1,IL,0.6966911764705882
1,0,0,1,FL,0.680628272251309
0,0,0,0,CA,0.7258566978193146
1,1,1,1,MI,0.7061068702290076
1,0,1,0,SD,0.7
1,1,1,1,NJ,0.7
0,0,0,0,VA,0.7158119658119658
0,0,0,1,PA,0.6622222222222223
1,0,0,1,AL,0.6111111111111112
1,1,1,1,OK,0.6363636363636364
1,1,1,1,TX,0.6930051813471503
1,0,1,1,VA,0.7158119658119658
1,1,1,1,AZ,0.7268518518518519
1,1,0,1,CA,0.7258566978193146
0,0,0,1,WA,0.7172619047619048
0,1,1,0,CA,0.7258566978193146
1,1,0,1,RI,0.7282608695652174
1,0,1,1,OH,0.6855828220858896
1,1,1,1,TX,0.6930051813471503
1,1,1,1,UT,0.756578947368421
0,0,0,0,VA,0.7158119658119658
1,1,1,1,NJ,0.7
1,1,1,1,CO,0.7090163934426229
1,0,1,1,UT,0.756578947368421
1,0,1,1,OR,0.6610169491525424
1,0,0,0,FL,0.680628272251309
1,0,0,1,GA,0.6039603960396039
1,0,0,1,MA,0.7105263157894737
1,1,1,1,NC,0.6365384615384615
1,1,1,1,TX,0.6930051813471503
0,0,0,1,NY,0.7316810344827587
1,0,1,0,LA,0.6217948717948718
1,0,1,1,IA,0.6938775510204082
1,0,1,1,KS,0.75
1,0,1,1,WA,0.7172619047619048
1,0,1,1,FL,0.680628272251309
1,1,1,1,TX,0.6930051813471503
1,1,1,1,CA,0.7258566978193146
1,0,1,1,MO,0.7005208333333334
1,1,1,1,IL,0.6966911764705882
1,1,0,1,NY,0.7316810344827587
0,0,0,0,NC,0.6365384615384615
1,1,0,1,CA,0.7258566978193146
1,1,1,1,CA,0.7258566978193146
1,0,1,1,RI,0.7282608695652174
1,1,1,1,IN,0.6658415841584159
1,0,0,1,PA,0.6622222222222223
1,1,0,1,NC,0.6365384615384615
1,1,1,1,CA,0.7258566978193146
1,0,1,1,FL,0.680628272251309
1,1,1,0,MA,0.7105263157894737
1,1,1,1,WI,0.7091346153846154
1,0,0,1,OK,0.6363636363636364
0,0,1,1,TX,0.6930051813471503
1,1,0,1,NY,0.7316810344827587
1,1,1,1,OH,0.6855828220858896
1,1,1,1,GA,0.6039603960396039
1,1,0,1,VA,0.7158119658119658
1,1,1,1,NJ,0.7
0,1,0,1,KY,0.631578947368421
1,1,1,1,NC,0.6365384615384615
1,1,0,0,FL,0.680628272251309
1,1,1,1,FL,0.680628272251309
1,1,0,1,MN,0.7476190476190476
1,0,1,0,TX,0.6930051813471503
1,0,1,1,IL,0.6966911764705882
0,0,0,0,WA,0.7172619047619048
1,0,1,1,KS,0.75
0,0,0,0,TN,0.6728723404255319
0,0,1,0,IL,0.6966911764705882
0,0,0,0,AR,0.6214285714285714
1,1,1,1,FL,0.680628272251309
1,1,1,1,MI,0.7061068702290076
1,0,1,1,CT,0.7205882352941176
1,1,1,1,UT,0.756578947368421
1,1,0,1,KY,0.631578947368421
1,0,1,1,MN,0.7476190476190476
1,1,1,1,AZ,0.7268518518518519
1,1,0,1,CA,0.7258566978193146
0,1,1,1,GA,0.6039603960396039
1,0,1,1,VA,0.7158119658119658
1,1,1,1,TN,0.6728723404255319
0,1,1,1,ND,0.6944444444444444
1,0,1,1,CO,0.7090163934426229
1,0,1,1,KY,0.631578947368421
1,1,0,1,GA,0.6039603960396039
1,1,1,1,CA,0.7258566978193146
